idproduto;artigo;descricao;preco;stock;idcategoria
1;MED025;Caixa Plstico p/ DVD Single  ___Z;1.00;16;33
2;MED026;Caixa Plstico p/ DVD Single Slim;0.56;17;33
3;MED027;Caixa Plstico p/ DVD Double;0.00;10;33
4;MED044;DVD-R TDK  4.7GB 4x;0.00;49;33
5;MED053;PRINCO DVD-R 4x 120 min;0.00;34;33
6;MED035;DVD+R PrimeDisk 4.7GB em videobox 8X;1.00;32;33
7;MED062;DVD+R PrimeDisk 4.7GB general use single jewel case 4Xz;1.00;20;33
8;MED046;DVD+R TDK 4.7GB 4x;0.00;42;33
9;REC547;Tinteiro Reciclado CANON GC-15 BK  caixa 2unidades P Unit.;2.00;33;33
10;MED022;CD-RW Sony 650Mb/74min;1.00;33;33
11;REC545;Tinteiro Reciclado CANON GC-11BK caixa 3unidades P Unit.;2.00;45;33
12;REC541;Tinteiro Reciclado CANON GC-6/5 C Cyan;2.00;28;33
13;REC539;Tinteiro Reciclado CANON BCI 3e PM Preto Photo;2.00;8;33
14;MED045;DVD-RW TDK  4.7GB;2.00;25;33
15;REC550;Tinteiro Reciclado CANON BCI 24BK Preto;2.00;20;33
16;REC474;Tinteiro Reciclado EPSON T050 Preto;2.00;14;33
17;REC535;Tinteiro Reciclado CANON BCI-3eBK Preto;2.00;43;33
18;REC540;Tinteiro Reciclado CANON GC-6/5 BK Preto;2.00;4;33
19;REC432;Tinteiro Reciclado EPSON SO20025 Preto;3.00;22;33
20;REC433;Tinteiro Reciclado EPSON SO20034Preto;3.00;41;33
21;REC536;Tinteiro Reciclado CANON BCI-3eC Cyan;2.00;27;33
22;REC441;Tinteiro Reciclado EPSON SO20108 T-051Preto;2.00;3;33
23;REC466;Tinteiro Reciclado EPSON T026 Preto;3.00;46;33
24;REC436;Tinteiro Reciclado EPSON SO20049 Cres;3.00;20;33
25;REC458;Tinteiro Reciclado EPSON T013T-050 Preto;2.00;24;33
26;REC459;Tinteiro Reciclado EPSON T014T-052Cres;3.00;19;33
27;REC440;Tinteiro Reciclado EPSON SO20097 Cres;3.00;4;33
28;REC463;Tinteiro Reciclado EPSON T018 Cres;4.00;21;33
29;REC468;Tinteiro Reciclado EPSON T028 Preto;3.00;48;33
30;REC470;Tinteiro Reciclado EPSON T036 Preto;3.00;11;33
31;REC487;Tinteiro Reciclado EPSON T0336 Light Magenta;4.00;36;33
